Ticker,Name,Price
MGM UN Equity,MGM Resorts International,28.53
MHK UN Equity,Mohawk Industries Inc,186.61
MKC UN Equity,McCormick & Co Inc/MD,121.52
MLM UN Equity,Martin Marietta Materials Inc,206.96
MMC UN Equity,Marsh & McLennan Cos Inc,83.15
MMM UN Equity,3M Co,207.29
MNST UW Equity,Monster Beverage Corp,59.26
MO UN Equity,Altria Group Inc,59.73
MOS UN Equity,Mosaic Co/The,30.45
MPC UN Equity,Marathon Petroleum Corp,79.09
MRK UN Equity,Merck & Co Inc,65.93
MRO UN Equity,Marathon Oil Corp,20.54
MS UN Equity,Morgan Stanley,49.91
MSCI UN Equity,MSCI Inc,166.82
MSFT UW Equity,Microsoft Corp,108.04
MSI UN Equity,Motorola Solutions Inc,117.67
MTB UN Equity,M&T Bank Corp,174.43
MTD UN Equity,Mettler-Toledo International Inc,586.67
MU UW Equity,Micron Technology Inc,52.81
MYL UW Equity,Mylan NV,38.45
NBL UN Equity,Noble Energy Inc,32.89
NCLH UN Equity,Norwegian Cruise Line Holdings Ltd,49.81
NDAQ UW Equity,Nasdaq Inc,91.49
NEE UN Equity,NextEra Energy Inc,171.15
NEM UN Equity,Newmont Mining Corp,36.46
NFLX UW Equity,Netflix Inc,343.09
NFX UN Equity,Newfield Exploration Co,27.5
NI UN Equity,NiSource Inc,26.59
NKE UN Equity,NIKE Inc,78.74
NKTR UW Equity,Nektar Therapeutics,53.94
NLSN UN Equity,Nielsen Holdings PLC,21.99
NOC UN Equity,Northrop Grumman Corp,297.25
NOV UN Equity,National Oilwell Varco Inc,47.03
NRG UN Equity,NRG Energy Inc,32.61
NSC UN Equity,Norfolk Southern Corp,171.62
NTAP UW Equity,NetApp Inc,81.68
NTRS UW Equity,Northern Trust Corp,109.81
NUE UN Equity,Nucor Corp,64.47
NVDA UW Equity,NVIDIA Corp,252.1
NWL UN Equity,Newell Brands Inc,26.57
NWS UW Equity,News Corp,15.3
NWSA UW Equity,News Corp,15.08
O UN Equity,Realty Income Corp,57.67
OKE UN Equity,ONEOK Inc,67.51
OMC UN Equity,Omnicom Group Inc,67.45
ORCL UN Equity,Oracle Corp,48.47
ORLY UW Equity,O'Reilly Automotive Inc,311.88
OXY UN Equity,Occidental Petroleum Corp,82.29
PAYX UW Equity,Paychex Inc,69.74
PBCT UW Equity,People's United Financial Inc,18.54
PCAR UW Equity,PACCAR Inc,64.43
PCG UN Equity,PG&E Corp,42.96
PEG UN Equity,Public Service Enterprise Group Inc,51.43
PEP UW Equity,PepsiCo Inc,116.3
PFE UN Equity,Pfizer Inc,40.54
PFG UW Equity,Principal Financial Group Inc,55.82
PG UN Equity,Procter & Gamble Co/The,82.33
PGR UN Equity,Progressive Corp/The,61.55
PH UN Equity,Parker-Hannifin Corp,172.51
PHM UN Equity,PulteGroup Inc,28.64
PKG UN Equity,Packaging Corp of America,111.39
PKI UN Equity,PerkinElmer Inc,86.32
PLD UN Equity,Prologis Inc,66.81
PM UN Equity,Philip Morris International Inc,86.84
PNC UN Equity,PNC Financial Services Group Inc/The,145.03
PNR UN Equity,Pentair PLC,43.96
PNW UN Equity,Pinnacle West Capital Corp,80.32
PPG UN Equity,PPG Industries Inc,110.95
PPL UN Equity,PPL Corp,28.97
PRGO UN Equity,Perrigo Co PLC,78.71
PRU UN Equity,Prudential Financial Inc,99.42
PSA UN Equity,Public Storage,213.98
PSX UN Equity,Phillips 66,121.66
PVH UN Equity,PVH Corp,150.85
PWR UN Equity,Quanta Services Inc,34.92
PX UN Equity,Praxair Inc,164.21
PXD UN Equity,Pioneer Natural Resources Co,184.11
PYPL UW Equity,PayPal Holdings Inc,85.19
QCOM UW Equity,QUALCOMM Inc,65.4
QRVO UW Equity,Qorvo Inc,84.18
RCL UN Equity,Royal Caribbean Cruises Ltd,112.42
RE UN Equity,Everest Re Group Ltd,220.69
REG UN Equity,Regency Centers Corp,64.84
REGN UW Equity,Regeneron Pharmaceuticals Inc,394.88
